function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Quadratic,10,0.1,10,0,1000,8.763250560160428e-09,1001,0.016097545623779297
Quadratic,10,0.1,10,1,1001,2.082528978189134e-07,1001,0.01598334312438965
Quadratic,10,0.1,10,2,1002,5.7559327865229995e-08,1001,0.012994527816772461
Quadratic,10,0.1,10,3,1003,9.124064094551487e-08,1001,0.013001441955566406
Quadratic,10,0.1,10,4,1004,8.476400970981268e-08,1001,0.015516281127929688
Quadratic,10,0.1,10,5,1005,2.9024944620398766e-07,1001,0.012998342514038086
Quadratic,10,0.1,10,6,1006,1.341467163389518e-08,1001,0.019000768661499023
Quadratic,10,0.1,10,7,1007,5.3671216692087494e-08,1001,0.021999120712280273
Quadratic,10,0.1,10,8,1008,2.0956656387401845e-07,1001,0.0178220272064209
Quadratic,10,0.1,10,9,1009,0.6522374740331942,231,0.003007650375366211
Quadratic,10,0.1,100,0,1000,0.060874556197666393,388,0.003994464874267578
Quadratic,10,0.1,100,1,1001,0.1592331717635089,580,0.0070002079010009766
Quadratic,10,0.1,100,2,1002,0.10934408711073067,603,0.007001638412475586
Quadratic,10,0.1,100,3,1003,0.13712624676672222,598,0.00799870491027832
Quadratic,10,0.1,100,4,1004,0.08519774517147678,568,0.007002115249633789
Quadratic,10,0.1,100,5,1005,0.038551723485304314,599,0.006999492645263672
Quadratic,10,0.1,100,6,1006,0.09877553718460966,517,0.009000301361083984
Quadratic,10,0.1,100,7,1007,0.07578979571571777,697,0.009002447128295898
Quadratic,10,0.1,100,8,1008,0.02818494360196457,548,0.007998228073120117
Quadratic,10,0.1,100,9,1009,0.05962504932994421,593,0.008006095886230469
Quadratic,10,1.0,10,0,1000,0.0002111082301846945,544,0.007983922958374023
Quadratic,10,1.0,10,1,1001,1.2707782419439212e-06,914,0.014004230499267578
Quadratic,10,1.0,10,2,1002,0.0017180269959077526,526,0.00699925422668457
Quadratic,10,1.0,10,3,1003,1.923532411155808e-08,1001,0.01150655746459961
Quadratic,10,1.0,10,4,1004,0.7312233227428385,221,0.003000497817993164
Quadratic,10,1.0,10,5,1005,1.6178359424296604e-06,745,0.009000301361083984
Quadratic,10,1.0,10,6,1006,0.015026636883430512,377,0.004999399185180664
Quadratic,10,1.0,10,7,1007,1.779484803313955e-05,740,0.007999658584594727
Quadratic,10,1.0,10,8,1008,1.3412725155165435e-08,1001,0.021002769470214844
Quadratic,10,1.0,10,9,1009,1.4800076497053958e-07,1001,0.015001058578491211
Quadratic,10,1.0,100,0,1000,0.8964140716572375,278,0.004991769790649414
Quadratic,10,1.0,100,1,1001,3.6240360283196194,225,0.003000020980834961
Quadratic,10,1.0,100,2,1002,4.0552499868408205,150,0.0019998550415039062
